 Haemophilus ducreyi,B03.440.450.600.450.125
Herpes Genitalis,C02.256.466.382.290
 Intellectual Disability,C10.597.606.643
 Oryza,B01.650.940.800.575.100.822.616
 Bacillus,B04.123.100
 Otitis Media,C01.539.830.694
 Coke,D20.345.108.110
 Fibric Acids,D02.241.081.114.968.500
 Social Justice,I01.880.604.473.700
 Emergency Treatment,E02.365
 Social Behavior,I01.880.735.784
 Oximetry,E01.370.225.124.100.100.600
 Mycoses,C08.381.472.850.750
 Medicago,B01.650.940.800.575.100.401.590.750
 Vegans,M01.928.500
 Candida,B01.300.381.147.400
 Educational Status,N01.824.196
Hearing,I02.233.213.199
 Migraine Disorders,C10.228.140.546.399.750
 Phosphorus,D08.811.520.650
 Pistacia,B01.650.940.800.575.100.044.555
 Cardiac Conduction Defect,@201081
Hepatolenticular Degeneration,C06.552.413
 Fetal Development,Y02.030
 Language Development Disorders,C10.597.606.150.500.550
 Communications Media,L01.178
 Tooth Erosion,C07.793.818.500
 Ear Diseases,C09.218.568
 Silver,D12.776.543.306
 Warfare,D002619
 Anxiety,D014151
 Potassium Compounds,D01.745
 Silicon Dioxide,D01.578.750
 Superficial Back Muscles,A02.633.567.175.875
 Polycythemia,C15.378.190.636.753
 Heterosexuality,F01.145.802.975.400
 Orthomyxoviridae Infections,C02.782.620
 Armoracia,B01.650.940.800.575.100.157.175
 Pleasure,F01.470.867
 Biotechnology,H01.158.550
Developing Countries,I01.615.500.300
 Industrial Waste,D20.944.420
Biological Warfare Agents,D20.215.226
 Mobility Limitation,C23.888.550
Heparin,D006494
 Numismatics,K01.093.560
 Motivation,F01.658
 Mycobacterium,C01.252.410.040.552.475.247
 Forecasting,Y06.060
 Electroencephalography,E02.190.525.123.500
 Enterobacteriaceae,C01.252.400.310
 Prednisone,D04.808.745.432.719.702
 Video Games,I03.450.642.693.930
Academic Medical Centers,N02.278.020
 Feathers,A13.370
 Panic Disorder,F03.080.700
 Oxidative Stress,G03.495.710
 Fluorescent Dyes,D005456
 Anthrax,D20.215.894.135.063
 Virulence Factors,D23.946.896
Spirochaeta,B03.440.425.410.711.679
 Scutellaria baicalensis,B01.650.940.800.575.100.583.520.942.500
 Mezlocillin,D02.065.589.099.750.750.050.500
 Venlafaxine Hydrochloride,D02.033.415.510.500.901
 Conflict of Interest,K01.752.566.479.095
 Bronchiectasis,C08.127.384.500
 Diagnostic Imaging,E01.370.350
 Police,M01.526.373.750
 Zika Virus,B04.820.250.350.995
 Guinea,B01.050.150.900.649.801.400.112.199.120.610.600
 pramipexole,@228507
 entacapone,@15119
 Racism,F01.145.813.550.500
 Emotions,F01.470.342
 Delusions,F03.700.356
 Somatostatin,D06.472.699.327.700.875.500
 Midwifery,H02.478.676.416
 Endocarditis,C14.280.282.703
 Methyltestosterone,D04.808.054.079.429.824.664
 Computer Systems,L01.224.230
 Gryllidae,B01.050.500.131.617.678.410
Peptidoglycan,D08.811.913.400.450.780
 Gastrointestinal Contents,A12.519
 Headache,C10.228.140.546.699.124
 Exercise,G11.427.590.530.698.277.061
Sheep,B01.050.500.131.166.132.419.575
 Nutritionists,M01.526.485.067.676
 Poland,C05.116.099.370.894.819.756
 Hallux,C10.500.034.500
 Equidae,B01.050.150.900.649.709.235
 bispyribac,@12347
 Pharynx,A03.556.750
 Students,M01.848.769.925
 Adipocytes,A11.329.114.500
 Virginia,Z01.107.567.875.075.900
 Dangerous Behavior,F01.145.263
 Heme,D08.811.682.690.708.410.500
 Egg Hypersensitivity,C20.543.480.370.150
Streptococcal Infections,C01.252.410.890
 Lopes Gorlin syndrome,@201785
 Protein Folding,C18.452.845
 Streptomyces,B03.300.390.400.810.768.750
 Ghee,D10.212.302.199.500
 Liver,C06.552.241.519
 Poliovirus,D20.215.894.899.623
 Tsuga,B01.650.940.800.575.400.122.666.992
 Listerine,@73228
 Hyperphagia,C23.888.821.645
 Seaweed,B05.080.750
Knowledge,N02.421.726.407.229.500.500
 Tumor Microenvironment,G04.366.500
 Anticoagulants,D000925
 Genetic Engineering,E05.393.420.601
 Punctures,E01.370.225.998.054.790
 Cryoelectron Microscopy,E01.370.350.515.402.150
 Beds,E07.325.220
 Adenine,D08.811.682.655.750.500
 Osteopetrosis,C05.116.099.708.702.678
 Iodides,D01.248.497.158.490
 HIV Envelope Protein gp41,D12.776.543.512.500.330
 Philippines,Z01.252.145.671
 Hepatitis B e Antigens,D23.050.327.495.500.469
Emergencies,N02.278.216.500.968.336
 Esocidae,B01.050.150.900.493.385.300
 Peptidoglycan,D08.811.913.400.450.780
 Spatial Regression,E05.318.740.750.862
Drowning,C26.304.500
 Pharmacies,N02.421.668.475
 Osteomyelitis,C05.116.099.708.025
 Russia,Z01.252.122.500
 Abattoirs,J01.576.423.200.700.100
 Cheese,G07.203.300.850.450.500
 Egg Shell,A13.316
 Dianthus,B01.650.940.800.575.100.195.222
 Polysomnography,E01.370.520.625
Upper Extremity,C14.907.355.830.925.885
 Shivering,G07.110.232.778.500
 Body Temperature Regulation,G07.110.232
 Oral and Maxillofacial Surgeons,M01.526.485.330.483
 Tea,B01.650.940.800.575.100.583.520.729
 Clustered Regularly Interspaced Short Palindromic Repeats,G02.111.570.080.708.800.325.500
 stem bromelain,D08.811.277.656.262.500.096
 Pulmonaria,B01.650.940.800.575.100.150.750
 Dioxygenases,D08.811.682.690.416.617.500
 Phosphates,D10.570.755.375.760.400.942.625
 bergamot oil,@13739
 Chlorofluorocarbons,D02.455.526.439.220.224
 Technology,E05.393.220.250.500
 Goats,B01.650.940.800.575.100.100.916
 Immunization Schedule,E02.095.465.425.400.470
 Digestive System,G10
 Renal Elimination,G03.787.410
Infant,C23.550.260.657
 Sheep,B01.050.500.131.166.132.419.575
 Ipomoea batatas,B01.650.940.800.575.100.238.500.500
 Cortical Spreading Depression,G11.561.270.300
 Myrtus,B01.650.940.800.575.100.773.761
 Dengue Virus,B04.820.250.350.270
 Insecticides,D007306
 Intellectual Property,I01.880.604.583.458
 Periplasm,A11.284.295.680
 Adenosine Triphosphate,D08.811.277.656.149
 Intubation,E02.041.500
 Water,D014874
 Zanthoxylum,B01.650.940.800.575.100.875.922
 Weightlessness,E05.974
Skin,E02.547.800.500
 Hallux Rigidus,C05.330.488.310
 Triazoles,D03.383.129.799
 Switzerland,Z01.542.883
 Dracunculiasis,C03.335.508.700.750.299
 Carnitine,D08.811.913.050.350.200
 Plague,C02.782.580.600.500.700
Intestinal Mucosa,A03.556.124.369
DNA Damage,D12.776.260.108.124.875
 Pain,C05.651.542
 Tetanus Toxoid,D20.215.894.691.824
 Carbonic Anhydrase Inhibitors,D002257
 Ocimum basilicum,B01.650.940.800.575.100.583.520.647.500
Immunologic Factors,D007155
 United States Food and Drug Administration,I01.409.418.750.600.650.760
San Marino,Z01.542.786
 Paroxetine,D03.383.621.600
 Trichothecenes,D02.455.849.765.850
 Tetracycline,G06.099.225.937
 Acute Disease,C23.550.291.125
 Dinosaurs,B01.050.150.900.833.150
 Seawater,G16.500.275.725.500
 Biomarkers,D23.101.137
 Brassica,B01.650.940.800.575.100.157.200.277
 Herpes Simplex,D20.215.894.899.290.400
 Disinfectants,D019551
 Investigational New Drug Application,E05.337.300.400
 Zingiberaceae,B01.650.940.800.575.100.975.900
 Lamiaceae,B01.650.940.800.575.100.583.520
 Complex Mixtures,D20
 Paraspinal Muscles,A02.633.567.175.750
 Spirituality,F02.880.705
 Luminescence,E05.799.638.602
 Forensic Medicine,H02.403.330
 Piper nigrum,B01.650.940.800.575.100.812.666.500
 Artemisia absinthium,B01.650.940.800.575.100.100.100.099
 Lactose,D08.811.277.450.410.100.500
 Paralysis,B04.525.165
 Costs and Cost Analysis,N03.219.151
 Nasolacrimal Duct,C16.131.077.208
 Undocumented Immigrants,M01.189.500
 Microscopy,E01.370.350.515.666.450
 Cholesterol,D12.776.157.530.100.151
 Diptera,B01.050.500.131.617.289
 Edetic Acid,D02.092.782.258.368.250
Bronchi,C05.182.895.249
 Chlorhexidine,D02.078.370.141.100
 Root Cause Analysis,N05.715.360.700
 Starvation,C18.654.521.750
 Pseudomonas aeruginosa,B03.440.400.425.625.625.100
Rotator Cuff,A02.633.567.912
 cajuput oil,B01.650.940.800.575.100.773.745
Commerce,J01.219
 Folic Acid,D005493
 Heart Failure,C14.280.434.611
 Love,F01.470.734
 Pertussis Vaccine,D20.215.894.135.535.300
 Soil,D012989
 Optic Nerve,C04.557.465.625.600.380.795
 Brunner Glands,A03.556.124.684.124.322
 Urethra,C04.588.945.947.945
 argan oil,@176581
 Saccharum,B01.650.940.800.575.100.822.558
 Health Services Research,H01.770.644.145.360
Galactans,D09.698.360
 Dysuria,C23.888.942.343.274
 Brompheniramine,D03.383.725.620.129
 Ephedrine,D02.033.100.624.853
 Viruses,Y05.070.010
Unconsciousness,C10.597.606.358.800
 Hot Springs,G01.311.355.750.500
Tattooing,E02.218.085.840
 Impetigo,C01.252.410.868.820.504
Walking,C23.888.550
Digestion,G02.111.087.710
Human Characteristics,F01.510
 Thumb,A02.165.308.575
 Abdominal Pain,C10.597.617.044
 Oil A,@115660
 Urinary Catheters,E07.132.625
 Staphylococcus aureus,B03.300.390.400.800.750.100.500
 Cannabis,D26.528
 Bays,G01.311.625.080
 Sinusitis,C08.460.692.752.827
 Sulfhydryl Compounds,D27.720.470.410.700
 Copper,E07.632.490.367
 Pupa,B05.500.700
 Pigmentation,C04.557.450.565.550.312
 Clostridium difficile,B03.300.390.400.200.250
 Respiratory Syncytial Viruses,B04.820.455.600.670.600.750
Brazil,B01.650.940.800.575.100.600.133
 Electromyography,E02.190.525.123.500
 Dental Pulp Cavity,A14.549.167.900.265
Ontario,Z01.107.567.176.639
 Occipital Bone,A02.835.232.781.572
 Iran,Z01.252.245.500.350
 Hydroxyl Radical,D01.045.250.357
Afghanistan,Z01.252.245.500.125
 Grandparents,F01.829.263.403
Penicillium,B01.300.381.662.592
 Regional Blood Flow,G09.330.190.163.780
 Cecum,A03.556.124.526.209
Reishi,B01.300.179.120.379.700
 Tick Bites,C25.723.127.789
 Water Wells,J01.293.821.500.500
Forehead,C10.900.300
 Cyclooctanes,D02.455.426.392.368.408
 Dentistry,H02.163.232
 California,B01.050.150.900.649.147.600.670
 Endangered Species,B01.050.050.565
 Virulence,Y35
Medicine,H02.403.645
Infant Care,N02.421.088.120
 Iraq,I01.880.735.950.250.782
 Cadmium,D01.142.175
 Baltic States,Z01.542.248.136
Cysts,C10.500.507.500.750
Diamond,C15.378.071.085.080.090
 World War II,I01.880.735.950.250.984
 Seafood,G07.203.300.600.875
 Morning Sickness,C13.703.407
 Flecks,@229701
 Public Health,M01.526.485.650.835
 Tidal Waves,G01.311.340.787
 Dental Care,E06.170.152
 Culex,B01.050.500.131.617.289.275.225
 Hamamelis,B01.650.940.800.575.100.475.500
 Zygote,E02.875.800.992
Cross Infection,C01.539.248
 Sciuridae,B01.050.150.900.649.865.750
 Bed Rest,E02.075
 Hydrothermal Vents,G01.311.355.750.500.400
 Smallpox,B04.280.650.160.650.930
Cupressus,B01.650.940.800.575.400.122.188.266
 Curriculum,Y23
 Pan American Health Organization,N03.540.514.718.800.628
Trismus,C10.597.613.750.700
 Varicose Veins,C14.907.927
 Metaplasia,C15.378.190.636.765
Fortune,@89016
Neck,E04.680.152
 Zygapophyseal Joint,A02.835.583.979
Indicators and Reagents,D007202
Antifungal Agents,D000935
 Cation Transport Proteins,D12.776.157.530.450.250.812
 Earache,C09.218.350
 Telephone,L01.178.847.698.300
 Return to Work,I03.946.449
 Books,V02.272
 Brain Injuries,C10.228.140.300.350
 Ammonia,D27.505.519.374.099
 Orthodontics,E06.658.703
 Radius,C26.088.268.556
Bombs,J01.637.870.175.500
 Local Area Networks,L01.224.230.110.600
 Uterine Cervical Neoplasms,C04.588.945.418.948.850
 Leisure Activities,I03.450
 Islam,K01.844.275
 Social Determinants of Health,N01.224.425.762
Saimiri,B01.050.150.900.649.801.400.600.150.710.710
 Pseudotumor Cerebri,C10.228.140.631.750
 Guanine,D12.644.360.325.300.099
 Berberis,B01.650.940.800.575.100.125.249
Love,F01.470.734
 Oral Health,N01.400.535
 Surveys and Questionnaires,E05.318.308.980
 Prothrombin,E01.370.225.625.115.610
 Jewelry,J01.637.502
Mexico,Z01.107.296
Polyethylene,D02.455.326.271.665.550.500
 Molasses,G07.203.300.662
 Christianity,K01.844.188
 Cockroaches,B01.050.500.131.617.140.580
 Cognitive Science,F04.096.628.255
 Vaccines,G12.450.418
 Bone Density,D050071
 United States,I01.409.418.750.500
 Endocrine Disruptors,D052244
 Indinavir,D03.383.725.385
 Orthodontic Brackets,E06.658.453.590
 Lactobacillus rhamnosus,B03.353.750.450.475.700
Genetic Loci,G05.360.340.024.380
Molar,C07.650.800.850
Aeromonas,B03.440.450.019.025.150
Spouses,F01.829.263.500.660
 Military Personnel,F01.829.263.435
 Critical Illness,C23.550.291.625
 Biological Therapy,E02.095
 Parietal Lobe,A08.186.211.730.885.287.500.670
 Philadelphia,C04.557.337.539.300
Health Care Surveys,E05.318.308.980.344
Colorectal Neoplasms,C04.588.274.476.411.307
 Victoria,B04.820.455.300.650
 Ethanolamines,D02.033.100.291
 Leadership,F01.752.609
 Curcuma,B01.650.940.800.575.100.975.900.166
 Vanilla,B01.650.940.800.575.100.787.888
 Martinique,Z01.107.084.900.600
 Capital Financing,N03.219.463.085
 Colorado,B04.820.630.160.200
 Vagus Nerve,C10.292.262.937
 Ursidae,B01.050.150.900.649.147.890
 Web Browser,L01.224.900.940
 Cyclohexanes,D02.455.426.392.368.367
 Exercise Tolerance,G11.427.680.270
 Abatacept,D12.776.124.486.485.114.580.225
 Biodiversity,G16.500.275.157.049
 Cinnamomum zeylanicum,B01.650.940.800.575.100.590.149.500
 Pneumocystis jirovecii,B01.300.107.730.700
 Capsicum,B01.650.940.800.575.100.905.145
 Chilblains,C26.212.500.217
 Rhinoplasty,E02.218.755
 Instinct,F01.658.642
 Saliva,D25.583.820
 Enteritis,B04.280.580.650.600.325.330
 Solvents,D012997
 Motor Vehicles,J01.937.500
 Cestode Infections,C03.335.190
 Gabon,Z01.058.290.100.380
 Diphtheria,D12.644.276.382.625
 Tea Tree Oil,D10.627.675.775
Intestines,A03.556.124
 Phytosterols,D04.808.247.808.756
Poultry,G07.203.300.600.750.500
Mustard Plant,B01.650.940.800.575.100.157.200.500
 Cinnamates,D02.241.223.200
 Streptococcus thermophilus,B03.353.750.737.872.800
 Giraffes,B01.050.150.900.649.077.380.443
 Capsaicin,D12.776.157.530.400.901.888
 Plant Cells,A11.750
 Encephalitis Viruses,B04.280.382.100.900.410
 Prodrugs,D26.675
 Elevators and Escalators,J01.086.339.115
 Nylons,D05.750.716.392
Cluster Headache,C10.228.140.546.399.937.500
 Nursing Homes,N02.278.825.610
 Ibuprofen,D02.241.223.701.430
 Comfrey,B01.650.940.800.575.100.150.210
 Dopamine,D065127
 Uganda,Z01.058.290.120.880
 Acer,B01.650.940.800.575.100.009.500
 thiacloprid,@196537
 Pregnancy Proteins,D12.776.780
 Blushing,F01.145.209.530.136
 Salmonella enterica,B03.440.450.425.800.200
 Death,Y09.010.020
 Granulation Tissue,A10.165.450
Health Care Sector,J01.576.489
 Fluorides,D01.303.350.300.950
 donepezil,@187225
 Camping,I03.450.642.159
 nitrobenzene,D02.455.426.559.389.565
 Vegetables,B01.650.510.956
Humans,C02.782.620.365
 Prostatic Neoplasms,C04.588.945.440.770.500
 Astronauts,M01.526.839.500
 Recurrence,C23.550.291.937
 Diabetic Neuropathies,C10.668.829.300
 Reverse Transcriptase Polymerase Chain Reaction,E05.393.620.500.725
 Megestrol Acetate,D04.808.745.432.531.500
 Equisetum,B01.650.940.800.575.175
 Magnetic Resonance Imaging,E01.370.350.825.500.350
 Quercetin,D03.383.663.283.266.450.284.888
 Diurnal Enuresis,C12.777.934.284.249
Bicycling,I03.450.642.845.140
 Eye Protective Devices,E07.662.250
Ankle Injuries,C26.558.100
 Cuba,Z01.107.084.900.225
 Hip,E01.370.600.115.100.960
 dodecyl sulfate,D02.033.415.220.720
 Hostility,F01.470.596
 Candidiasis,C01.703.160.175
 Cosmic composite resin,@208729
 Hysteria,F03.675.400.500
 Skin Neoplasms,C04.588.805
 Alteromonas,B03.440.400.425.126
 Waist Circumference,E01.370.600.115.100.160.560
 Bacterial Infections,C01.252.200
 Superinfection,C01.539.597.880
 Coal Mining,J01.576.655.875.500.500
 Nocebo Effect,N05.715.350.350.625.500
 Spores,A11.870.740
 Tinea Versicolor,C01.539.800.200.860
 Bronchi,C05.182.895.249
 Respiratory Insufficiency,C08.618.846
 Meals,F01.145.407.432.500.100
Specialization,H02.811
 Isotopes,D01.496.966
 Gender Identity,F01.393.446.250
 Interleukin 1 Receptor Antagonist Protein,D12.644.276.374.460
 Molecular Biology,L01.313.500.750.300.188.400.300.500
Recombinant Proteins,D12.776.828
 Bacteria,Y05.070
 Manihot,B01.650.940.800.575.100.350.535
 Solanum tuberosum,B01.650.940.800.575.100.905.725.777
 Data Mining,L01.313.500.750.280.199
 Distamycins,D12.644.140
 Acupuncture Points,E02.190.044.555.035
 Kidney Calculi,C12.777.419.600.500
 Toilet Facilities,N06.850.860.410.560
 Alabama,Z01.107.567.875.075.100
 Ferritins,D12.776.157.427.249
Fishes,B01.050.050.286.500
 Parkinsonian Disorders,C10.228.140.079.862
 Zea mays,B01.650.940.800.575.100.822.966
 Nucleotide Motifs,G02.111.570.080.611
 Dander,A12.200.250
 lime,B01.650.940.800.575.100.822.894
 Mercury Compounds,D01.538
 Aflatoxins,D03.383.663.283.119
 Flavonoids,D03.383.663.283.266.450.284
 Disabled Children,M01.150.200
 Benzimidazoles,D02.886.640.074
 Ciprofloxacin,D03.438.810.835.322.186
 Plant Roots,A18.400
 Criminal Law,I01.198.290
 American Samoa,Z01.639.760.815.800.100
 Africa,Z01.058.290
 Ants,B01.050.500.131.617.479.205
 Sodium Hypochlorite,D01.210.465.800
 Haloarcula,B02.200.400.400.400.410
Esthetics,E06.420
 Cocaine,C25.775.300
 Arsenic,C10.720.475.150
 Vestibular Diseases,C09.218.568.900
 Dyssomnias,C10.886.425
 Neonatology,H02.403.670.400
 Confidentiality,F04.096.544.335.240
 Neurons,A08.511.500
 Polymyxins,D04.345.566.780
Felis,B01.050.500.131.617.750.200
 Seizures,C10.228.140.490.360.272
 Raphanus,B01.650.940.800.575.100.157.711
 North Dakota,Z01.107.567.875.510.525
 Lassa Fever,C02.782.082.545
 Camels,B01.050.150.900.649.077.380.201
 Phycodnaviridae,B04.280.600
Cornea,C10.900.300.284.250.124
 Plant Breeding,J01.040.227.500
 Whole Grains,G07.203.300.300.550.500
 Global Warming,G16.500.240.135.374.500
 Finger Phalanges,A02.835.232.087.319.350
 pectin,D08.811.277.450.800
 Thysanoptera,B01.050.500.131.617.800
 Morus,B01.650.940.800.575.100.750.633
 Cosmetics,D003358
Anger,F01.470.093
 Ascariasis,C03.335.508.700.100.070
 Cell Body,A11.284.074
 Interleukins,D12.776.543.750.705.852.420
 New Zealand,B01.650.940.800.575.100.773.713
 Fungal Viruses,B04.352
 Space Suits,E07.662.500.700
 Human Experimentation,E05.445.875
Pyrimidines,D03.383.742
Genotype,E05.393.442
 Patient Transfer,E02.204.624
 Professional Competence,I02.399.630
 Enterococcus faecalis,B03.353.750.250.250.280
Sneezing,C23.888.852.889
 New Hampshire,Z01.107.567.875.550.580
 Piperacillin,D02.065.589.099.750.750.050.650
 Halfway Houses,N02.278.825.408
 Oxides,D01.810.950
 Omalizumab,D12.776.124.486.485.114.071.500
 Panax,B01.650.940.800.575.100.087.500.500
 Biological Warfare,D20.215.226
Virion,D12.776.964.970
 Relaxation,G09.330.190.400.925
 Thailand,Z01.252.145.841
 Ribonuclease P,D08.811.277.352.700.350.711
 Private Practice,N04.452.758.745
 Sagittaria,B01.650.940.800.575.100.025.033.777
Hate,F01.470.548
 Fatty Acids,D10.251.355.920
 Red Cross,N03.540.514.642
Bifidobacterium,B03.510.024.100
 Eructation,C23.888.821.297
 Amputation,C26.062
 Periapical Abscess,C01.539.830.025.650
 Fasting,C18.452.394.984
 Kentucky,B01.650.940.800.575.100.822.793
 Primula,B01.650.940.800.575.100.829.774
Solanum tuberosum,B01.650.940.800.575.100.905.725.777
 Epidermis,A18.024.750
 Thymosin,D06.472.910.850
 Cactaceae,B01.650.940.800.575.100.168
 Nigella sativa,B01.650.940.800.575.100.838.518.750
 Enterovirus,B04.820.565.284.188
 Volunteers,M01.774.500
 Night Terrors,C10.886.659.635.600
Tooth Root,A14.549.167.900.750
Digestive System,G10
Bible,K01.844.188.573
 Ergotamine,D03.132.327.412.400
 Contraception,E02.875.194.540
 Androsterone,D08.811.913.400.450.480
Nutritional Requirements,G07.203.650.620
 Mycoplasma hominis,B03.440.860.580.553.553.400
 Control Groups,E05.318.780.074
 Mentha piperita,B01.650.940.800.575.100.583.520.483.444
 Gelsemium,B01.650.940.800.575.100.638.500
 Sodium Chloride,D049993
 Peroxides,D01.248.497.158.685.750
 Aerosols,D02.455.526.439.220.300
Probiotics,G07.203.300.456.500
 Doxycycline,D02.455.426.559.847.562.900.200
 carbetapentane,@192253
 Methotrexate,D03.438.733.631.192.500
 Selection Bias,N05.715.350.150.775
 Carbonated Beverages,G07.203.100.300
 Flagella,A11.284.180.290
 Basal Ganglia,C10.228.140.079.127.500
 Crataegus,B01.650.940.800.575.100.842.500.177
 Toxoplasmosis,C01.395.250.500
 Nucleoproteins,D12.776.664
 Pepsinogen A,D08.622.509.700
 Thinking,F02.463.785
 Paris,C15.378.140.855.440
 Lithuania,Z01.542.248.136.580
 Benzoquinones,D02.806.250
 Causticum,@193332
 Germ Theory of Disease,K01.752.667.555
 Gangrene,C01.252.377
 Tranquilizing Agents,D014149
 Foreign Bodies,C26.392
 Movement,I03.833
 Bedbugs,B01.050.500.131.617.412.420.150.100
Death,Y09.010.020
Severe Acute Respiratory Syndrome,B04.820.504.540.150.750
Smoke,I01.655.249
 Clubfoot,C05.330.495.150
United States Department of Agriculture,I01.409.418.750.400
 Glycocalyx,A11.284.149.165.355
 Social Responsibility,F01.829.500.760
 Plant Oils,D10.627.700
 Growth and Development,Y08.020
 Brucella,B03.440.400.425.215.500.625
Culicidae,B01.050.500.131.617.289.275
 Fiducial Markers,E05.978.808.249
 clay,D01.056.050.075.975
 Niger,B01.650.940.800.575.100.838.337
 Mycolic Acids,D02.241.511.621
 Shamanism,E02.190.488.830
 Primates,B01.050.150.900.649.801
 Solare,@65392
 Nephritis,B04.820.069.080
 Sea Lions,B01.050.150.900.649.147.600.670
 Oligosaccharides,D09.698.629.553
 Plants,B01.650.940.800.575.100.350.038
 New Orleans,Z01.107.567.875.750.480.500
 Population Dynamics,I01.240.600
Pain,C05.651.542
Beauty,J01.576.112
Pharynx,A03.556.750
Research,N04.761.559.590.399
 Nurse Administrators,M01.526.070.670
 Chloroflexi,B03.275
 Monoamine Oxidase Inhibitors,D008996
 Metabolic Networks and Pathways,G03.495.553
Negotiating,F01.145.209.520
 Phosphorylation,D12.776.124.486.485.114.248
 Pneumonia,C01.252.400.210.210.124
 Cell Membrane Permeability,G03.495.166.335
 maraviroc,@202063
 Disinfection,N06.850.780.200.412.500
 Electrons,G01.249.335
Schools,I02.783.495.836
 Ultrafiltration,E04.292.975
 Prescription Drug Overuse,E02.319.754.750
 Athletes,G09.330.190.281
 Dental Porcelain,D25.339.376
 Human Trafficking,I01.198.240.748.470
 dimethicone,@65636
 Citrus paradisi,B01.650.940.800.575.100.875.177.538
Ions,G01.249.467
 hepatitis B hyperimmune globulin,@68922
 Bacillus subtilis,D08.811.277.656.300.760.787
 Sleep Wake Disorders,C10.886
 Food Labeling,J01.576.423.850.600.400
 Cross Infection,C01.539.248
 Depressive Disorder,F03.600.300.388
 Gallbladder,C06.130.564.263.249
 Hepatitis A Vaccines,D20.215.894.899.955.395
Telefacsimile,L01.178.847.606
 Colombia,Z01.107.757.284
Spinal Fusion,E04.555.100.700
 Endorphins,D12.644.400.575.241
 Ampicillin,D02.065.589.099.750.750.050.900
 Disasters,K01.400.504.984.186
 Decontamination,N06.850.780.325
 Scorpions,B01.050.500.131.166.661
 Infant Mortality,E05.318.308.985.550.475
Ancylostomatoidea,B01.050.500.500.294.700.775.100
 Darkness,C10.597.350.850
 Computational Biology,H01.158.273.180
 Anethum graveolens,B01.650.940.800.575.100.075.077
 Trigonella,B01.650.940.800.575.100.401.937
 Overbite,C07.793.494.630.500
 Narcotics,D009294
 coconut oil,D02.033.415.220
 Photosynthesis,D05.500.562.488.750
 Microbial Interactions,G06.590.580
 Hand Sanitizers,D27.505.954.122.187.500
 Lordosis,C05.116.900.800.750
 Larynx,C05.182.310
 Sulfonamides,D02.065.884
 Glycolates,D02.241.081.018.386
 Optic Neuritis,C10.292.700.550
 Nitroso Compounds,D02.654
 Museums,K01.400.152.552
 Ceanothus,B01.650.940.800.575.100.840.111
 Cortisone,D08.811.682.047.436.174
 Stomach Ulcer,C06.405.469.275.800.849
 Lighting,N06.230.150.410
 Awards and Prizes,K01.150
 Toes,A02.835.232.043.300.800
Colistin,D04.345.566.780.110
Asthma,C08.127.108.495
 Concentration Camps,I01.880.604.787.358
Foodborne Diseases,C25.723.415
Sudan,B04.820.455.300.200
 Carcinoid Tumor,C04.557.465.625.650.200
 Apoptosis,C10.500.507.400
Cooking,J01.494.300
 Linezolid,D02.065.064.463
 Animal Feed,G07.203.300.300.100
 Blood Cells,A11.118.637
 Mandibular Condyle,A02.835.232.781.324.502.632.600
Escherichia coli,B03.440.450.425.325.300.900
 Gabexate,D02.078.370.380
Research Report,H01.770.644.864
 Plant Viruses,B04.715
 Disulfiram,D02.241.081.251.869.220.250
 Hedgehogs,B01.050.150.900.649.473
 Semantics,L01.143.506.598.745
 Thorax,C08.381.570
 Propranolol,D02.033.100.624.698.711
Israel,Z01.252.245.500.375
 Endotoxemia,C01.539.757.100.275
 Capnocytophaga,B03.140.190.100
 Bronchitis,C08.127.446.567
 Rehmannia,B01.650.940.800.575.100.583.750
 Paranoid Disorders,F03.700.750.700
 Gasoline,D20.345.630.540
Fast Foods,G07.203.300.477
Arthritis,I01.409.418.750.600.480.425
 Facial Muscles,A02.633.567.400
 Fitness Centers,N02.278.207
 Triclosan,D02.355.726.900
 Chlamydia trachomatis,B03.440.190.190.190.750
 Hearing,I02.233.213.199
 Renal Dialysis,E07.858.082.585
 Plastics,D05.750.716.195
 Membrane Proteins,D12.776.543.983
 Vitamin B 12,C18.654.521.500.133.699.923
 Plant Gums,D05.750.078.739
Oxygen,N06.850.460.350.080.500
 boswellic acid,B01.650.940.800.575.100.162.111
 Cystic Fibrosis,D12.644.276.087.161
 Glucans,D09.698.365.089
 Ecology,H01.158.273.248.750
 Cholagogues and Choleretics,D002756
 Metals,D01.268.513
 Ink,F04.711.647.622.341
 Exobiology,H01.158.273.295
 DNA,A11.284.295.495
Eye Pain,C10.597.617.202
 Mozambique,B01.050.150.900.493.602.200.800
 Thimerosal,D02.691.750.100.347.850
 Syncope,C14.280.067.565.440
 Essential Tremor,C10.228.662.350
 Cytoskeleton,A11.284.430.214.190.750.050
 Employment,N01.824.245.350
 Virus Assembly,G06.590.875.780.950
 Cooking and Eating Utensils,J01.494.300
Poaceae,B01.650.940.800.575.100.822
 Fusobacterium nucleatum,B03.370.250.500
 Climacteric,G08.686.157.500
 Ceftriaxone,D02.065.589.099.249.190.190.155
 Prunus persica,@191736
 Tympanic Membrane,E04.580.450.802
 propylene dichloride,@179500
 Malnutrition,C13.703.277.677
 Federal Government,I01.409.137
 Mutation,G05.355.044.250.750
 sedoheptulose,D08.811.913.200.825
 Polyvinyl Alcohol,D02.033.750
 Decompression Sickness,C26.120.248
 Skin Aging,G13.750.829.826
