#../projects/marine/res_1.txt
00000000|Male|C0086582|129927|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM
00000000|Humans|C0086418|129927|CT|CT Text Lookup: men||MM
00000000|*Noise|C0028263|63680|MH|RtM via: Noise;Forced Leaf Node Lookup:noises|TI|MM|11361^6^0;1850^5^0
00000000|*Marriage|C0024841|62762|MH|RtM via: Marriage, life event;Forced Leaf Node Lookup:marriages|TI|MM|3764^8^0
00000000|*Laughter|C0023133|60956|MH|RtM via: Laughter;Forced Leaf Node Lookup:laughters|TI|MM|1799^8^0
00000000|*Sweat|C0038984|53864|MH|RtM via: Sweat;Forced Leaf Node Lookup:sweats|TI|MM|1515^6^0
00000000|*Ponds|C0337048|51560|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|12160^5^0
00000000|*Lakes|C0337049|50702|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|10996^5^0
00000000|*Hate|C0018616|48872|MH|RtM via: Hate;Forced Leaf Node Lookup:hate|TI|MM|545^4^0
00000000|*Rivers|C0337050|48851|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|11006^6^0
00000000|*Investments|C0021953|47552|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|6797^10^0
00000000|*Economic Development|C0013552|46244|MH|RtM via: Economic Growth;Forced Leaf Node Lookup:economic growth|TI|MM|4578^15^0
00000000|Quebec|C0034390|45398|MH|RtM via: Quebec;Forced Leaf Node Lookup:quebec|TI|MM|10134^6^0
00000000|*Museums|C0026863|44795|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|188^6^0
00000000|Yukon Territory|C0043438|44507|MH|RtM via: Yukon Territory;Forced Leaf Node Lookup:yukon|TI|MM|10073^5^0
00000000|gatorade|C0206948|43053|NM|RtM via: gatorade;Forced SCR Leaf Node Lookup:gatorade|TI|MM|3403^8^0
00000000|*Clergy|C0008935|41321|MH|RtM via: Ministers;Forced Leaf Node Lookup:ministers|TI|MM|12298^8^0;4354^8^0
00000000|*Return to Work|C0425105|39344|MH|RtM via: Return to Work;Forced Leaf Node Lookup:back to work|TI|MM|1910^12^0
00000000|Washington|C0043038|38006|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|5273^10^0
00000000|Alaska|C0001905|38003|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|10373^6^0;10439^6^0;10123^6^0
00000000|*Diplomacy|C4042935|36539|MH|RtM via: Diplomat;Forced New Lookup:diplomat|TI|MM|7794^8^0
00000000|*Wrist|C0043262|36428|MH|RtM via: Wrist;Forced Leaf Node Lookup:wrists|TI|MM|2646^6^0
00000000|*Friction|C0162691|35432|MH|RtM via: Friction;Forced Leaf Node Lookup:friction|TI|MM|5461^8^0
00000000|Beijing|C4042832|34901|MH|RtM via: Beijing;Forced New Lookup:beijing|TI|MM|6312^7^0;5748^7^0
00000000|Taiwan|C0039260|34349|MH|RtM via: Taiwan;Forced Leaf Node Lookup:taiwan|TI|MM|7665^6^0;7739^6^0;7311^6^0;6708^6^0;6537^6^0;6447^6^0;6193^6^0;5849^6^0;5904^6^0;5640^6^0;4925^6^0;3980^6^0;4660^6^0;4861^6^0;5672^6^0;6283^6^0;6903^6^0;7027^6^0;7603^6^0
00000000|*Goals|C0018017|31529|MH|Forced Leaf Node Lookup:goal|TI|MM|4092^4^0
00000000|*Mothers|C0026591|31529|MH|Forced Leaf Node Lookup:mothers|TI|MM|3444^6^0
00000000|*Siblings|C0037047|31529|MH|Forced Leaf Node Lookup:sister|TI|MM|113^6^0
00000000|Canada|C0006823|17733|MH|RtM via: Canada;RtM via: canadian;Forced Non-Leaf Node Lookup:canadian|TI;Geo Lookup:canadians|MM|4536^6^0;3969^6^0;4502^9^0;4221^8^0
00000000|*Isotonic Solutions|C0022260|43052|HM|RtM via: gatorade|TI|MM|3403^8^0
00000000|*Hysteria|C0020701|42228|MH|RtM via: Hysteria|TI|MM|1788^10^0
00000000|*Fever|C0015967|32220|MH|RtM via: Fever;RtM via: Fever symptoms (finding);Forced Non-Leaf Node Lookup:fevers|TI|MM|1400^6^0;1373^5^0;1201^5^0;956^6^0;906^5^0
00000000|*Government|C0018104|32088|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|12004^10^0;11843^10^0;11719^10^0;11436^10^0;11291^10^0;11123^11^0;10868^10^0;9907^11^0;9424^10^0;9084^10^0;8214^10^0;5074^10^0;4309^10^0;4183^8^0
00000000|*Fear|C0015726|27381|MH|RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fear|TI|MM|6893^4^0;5379^4^0
00000000|*System, Political|C0032381|22209|ET|Entry Term Replacement for "Political Systems";RtM via: Political Systems;Forced Non-Leaf Node Lookup:political systems|TI|MM|7432^16^0
00000000|*Guilt|C0018379|22011|MH|RtM via: Guilt;Forced Non-Leaf Node Lookup:guilts|TI|MM|2377^5^0
00000000|*Disaster|C0012618|15639|ET|Entry Term Replacement for "Disasters";RtM via: Disasters;Forced Non-Leaf Node Lookup:disasters|TI|MM|9268^8^0
00000000|*Poisons|C0032346|12789|MH|RtM via: Poisons;Forced Non-Leaf Node Lookup:poisons|TI|MM|11051^6^0
00000000|*Respiratory Infections|C0035243|11076|ET|Entry Term Replacement for "Respiratory Tract Infections";RtM via: Respiratory Tract Infections;Forced Non-Leaf Node Lookup:respiratory infections|TI|MM|1017^22^0
00000000|*Atmosphere|C0004178|10950|MH|RtM via: Atmosphere, planetary;Forced Non-Leaf Node Lookup:atmospheres|TI|MM|5475^10^0
00000000|*Running|C0035953|6396|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|1642^3^0;1396^3^0;1363^7^0;977^3^0
00000000|*Stomach|C0038351|3177|MH|RtM via: Stomach;RtM via: Entire stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|3376^7^0;1562^7^0
00000000|Oceans and Seas|C0028815|1000|MH|Forced Non-Leaf Node Lookup:oceans||MM|2358^5^0
00000000|Equidae|C0242616|1000|MH|Forced Non-Leaf Node Lookup:ass||MM|3609^3^0
00000000|China|C0008115|9435|MH|RtM via: China|TI|MM|7716^6^0;7762^5^0;6698^5^0;6973^5^0;6548^5^0;5915^5^0;5948^5^0;5741^5^0;5098^5^0;4884^5^0
00000000|economics|C0013557|1111|SH|N03.219.702 (Investments)|TI|MM
#../projects/marine/res_4.txt
00000000|*Federal Government|C0015737|66733|MH|RtM via: Federal Government;Forced Leaf Node Lookup:federal government|TI|MM|8993^18^0
00000000|*Investments|C0021953|63325|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|1835^11^0
00000000|*Public Health|C0034019|63169|MH|RtM via: public health medicine (field);Forced Leaf Node Lookup:public health|TI|MM|2099^13^0
00000000|*Caregivers|C0085537|59863|MH|RtM via: Caregiver;Forced Leaf Node Lookup:caregivers|TI|MM|7974^9^0
00000000|*Chronic Disease|C0008679|57457|MH|RtM via: Chronic disease;Forced Leaf Node Lookup:chronic illness|TI|MM|9849^15^0
00000000|*Love|C0024028|52960|MH|RtM via: Love;Forced Leaf Node Lookup:love|TI|MM|7192^4^0
00000000|*Meditation|C0150277|52711|MH|RtM via: meditation;Forced Leaf Node Lookup:meditation|TI|MM|8323^10^0
00000000|*Rural Nursing|C3658224|50035|MH|RtM via: Rural Nursing;Forced Leaf Node Lookup:rural nursing|TI|MM|2135^13^0
00000000|*Mental Health|C0025353|49966|MH|RtM via: mental health;Forced Leaf Node Lookup:mental health|TI|MM|3072^13^0;2007^13^0
00000000|*Hate|C0018616|49609|MH|RtM via: Hate;Forced Leaf Node Lookup:hate|TI|MM|5921^4^0
00000000|*Anniversaries and Special Events|C0003098|46642|MH|RtM via: Anniversaries;Forced Leaf Node Lookup:anniversary|TI|MM|4118^11^0
00000000|*Friends|C0079382|44569|MH|RtM via: friend;Forced Leaf Node Lookup:friends|TI|MM|10766^6^0
00000000|*Leadership|C0023181|43498|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|4210^10^0;4054^10^0
00000000|*Reaction Time|C0034746|40489|MH|RtM via: Reaction Time;Forced Leaf Node Lookup:response times|TI|MM|2948^13^0
00000000|Yukon Territory|C0043438|39550|MH|RtM via: Yukon Territory;Forced Leaf Node Lookup:yukon|TI|MM|11287^5^0;10944^5^0
00000000|*Multiple Sclerosis|C0026769|38974|MH|RtM via: Multiple Sclerosis;Forced Lookup:multiple sclerosis|TI|MM|7638^18^0
00000000|*Courage|C0870365|38485|MH|RtM via: Courage;Forced Leaf Node Lookup:courage|TI|MM|8394^7^0
00000000|4-(4-dihexadecylaminostyryl)-N-methylpyridium|C0172658|31700|NM|Forced SCR Leaf Node Lookup:dia|TI|MM|5150^3^0;5297^3^0;6933^3^0
00000000|Canada|C0006823|7851|MH|RtM via: Canada;RtM via: canadian;Forced Non-Leaf Node Lookup:canadian|TI;Geo Lookup:canadians|MM|11270^6^0;10934^6^0;9077^6^0;7680^6^0;964^6^0;757^6^0;563^6^0;346^6^0;8151^9^0
00000000|*Life Change|C0008943|57675|ET|Entry Term Replacement for "Climacteric";RtM via: Climacteric|TI|MM|9158^13^0;8890^13^0
00000000|*Health Policy|C0018735|43227|MH|RtM via: Health Policy|TI|MM|247^6^1;263^6^1
00000000|*Government|C0018104|40980|MH|RtM via: Government|TI|MM|3310^10^0;821^10^0
00000000|*Unemployment|C0041674|40806|MH|RtM via: Unemployment|TI|MM|8295^7^0
00000000|*Telehealth|C1328956|36288|ET|Entry Term Replacement for "Telemedicine";RtM via: Telehealth;RtM via: Telemedicine;Forced Non-Leaf Node Lookup:telehealth|TI|MM|2181^10^0
00000000|*Freedom|C0016694|32700|MH|RtM via: Freedom;Forced Non-Leaf Node Lookup:freedoms|TI|MM|8099^7^0
00000000|*Supports, Financial|C0016118|24174|ET|Entry Term Replacement for "Financial Support";RtM via: Financial Support;RtM via: Funding;Forced Non-Leaf Node Lookup:financial supports|TI|MM|10396^18^0;1890^7^0;844^6^0;892^6^0
00000000|*Accountability|C0078889|20052|ET|Entry Term Replacement for "Social Responsibility";RtM via: Accountability;Forced Non-Leaf Node Lookup:accountability|TI|MM|1595^16^0;1078^11^0;1002^14^0;608^11^0
00000000|*Environmental Health|C0014413|18735|MH|RtM via: Environmental Health;Forced Non-Leaf Node Lookup:environmental healths|TI|MM|2159^20^0
00000000|*Primary Care|C0033137|16239|ET|Entry Term Replacement for "Primary Health Care";RtM via: Primary Health Care;Forced Non-Leaf Node Lookup:primary care|TI|MM|2114^12^0;1989^12^0;1753^12^0
00000000|Quality of Health Care|C0034379|1000|MH|Forced Non-Leaf Node Lookup:quality of health care||MM|3925^22^0
00000000|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|7201^3^0
00000000|therapy|C0087111|45300|SH|RtM via: therapeutic aspects;therapy (C0039798);RtM via: Cardiac Lead Procedure;Therapeutics (C0087111);RtM via: Therapeutic procedure;Therapeutics (C0087111);RtM via: Urgent Procedure;Therapeutics (C0087111)|TI|MM
00000000|economics|C0013557|1111|SH|N03.219.702 (Investments)|TI|MM
#../projects/marine/res_5.txt
00000000|Female|C0015780|164651|CT|CT Text Lookup: girl;CT Text Lookup: girls;CT Text Lookup: her;CT Text Lookup: she||MM
00000000|Humans|C0086418|164651|CT|CT Text Lookup: girl;CT Text Lookup: girls||MM
00000000|United States|C0041703|164651|CT|RtM via: United States;Forced Leaf Node Lookup:american;Forced Non-Leaf Node Lookup:united states|TI|MM|10000^13^0;9928^8^0
00000000|*Sambucus nigra|C0331059|163651|MH|RtM via: Sambucus nigra;Forced Leaf Node Lookup:black elderberry;checkForceMH Boosted|TI|MM|1367^16^0
00000000|*Investments|C0021953|147328|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|7102^6^0;7030^11^0;6251^9^0;6014^10^0
00000000|*Vitamins|C0042890|143902|MH|RtM via: Vitamins;Forced Leaf Node Lookup:vitamins;checkForceMH Boosted|TI|MM|923^8^0
00000000|*Economic Development|C0013552|135992|MH|RtM via: Economic Growth;RtM via: Economic Development;Forced Leaf Node Lookup:economic growth|TI|MM|8935^15^0;10349^20^0
00000000|*Garlic|C0993630|132955|MH|RtM via: Allium sativum;RtM via: Garlic;RtM via: Garlic preparation;Forced Leaf Node Lookup:garlic;checkForceMH Boosted|TI|MM|2054^6^0
00000000|*Sodium Chloride|C0037494|116131|MH|RtM via: Saline Solution;Forced Leaf Node Lookup:saline solution;checkForceMH Boosted|TI|MM|1981^15^0
00000000|*Walking|C0080331|111908|MH|RtM via: Walking (activity);Forced Leaf Node Lookup:walking|TI|MM|5626^4^0;3682^4^0;6615^7^0
00000000|*Wind|C0043187|110723|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|168^4^0
00000000|*Elderberry|C1304635|110015|ET|Entry Term Replacement for "Sambucus";RtM via: Sambucus canadensis;checkForceMH Boosted|TI|MM|1481^10^0
00000000|*Social Media|C3179065|92849|MH|RtM via: Social Media;Forced Leaf Node Lookup:social media|TI|MM|4005^12^0;3911^12^0;3939^12^0
00000000|*Cold Temperature|C0009264|91193|MH|RtM via: Cold Temperature;Forced Leaf Node Lookup:cold|TI|MM|270^4^0
00000000|*State Government|C0038191|90686|MH|RtM via: State Government;Forced Leaf Node Lookup:provincial government|TI|MM|7355^22^0
00000000|*Climate Change|C2718051|88973|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|95^14^0
00000000|*Federal Government|C0015737|88940|MH|RtM via: Federal Government;Forced Leaf Node Lookup:federal government|TI|MM|11359^18^0;9772^18^0;7047^18^0;6978^18^0
00000000|*Attention|C0004268|88769|MH|RtM via: Attention;RtM via: vigilance;Forced Leaf Node Lookup:attentions|TI|MM|5965^9^0;4093^5^0
00000000|*Singing|C0234857|86273|MH|RtM via: Singer;Forced Leaf Node Lookup:singers|TI|MM|4369^6^0;4273^6^0
00000000|*Public Health|C0034019|85952|MH|RtM via: public health medicine (field);Forced Leaf Node Lookup:public health|TI|MM|4760^13^0;4533^13^0
00000000|*Love|C0024028|84839|MH|RtM via: Love;Forced Leaf Node Lookup:love|TI|MM|3982^4^0;1064^4^0
00000000|*Smoking|C0037369|83420|MH|RtM via: Smoking;RtM via: Tobacco smoking behavior;Forced Leaf Node Lookup:smoking|TI|MM|5217^7^0
00000000|*Chronic Disease|C0008679|83105|MH|RtM via: Chronic disease;Forced Leaf Node Lookup:chronic diseases|TI|MM|4914^16^0
00000000|*Cough|C0010200|78629|MH|RtM via: Coughing;Forced Leaf Node Lookup:coughs|TI|MM|3311^5^0;3323^5^0;2713^5^0;2181^5^0
00000000|*Railroads|C0034638|78245|MH|RtM via: Subways;Forced Leaf Node Lookup:subways|TI|MM|6888^6^0;5591^6^0
00000000|*Friends|C0079382|77954|MH|RtM via: friend;Forced Leaf Node Lookup:friends|TI|MM|5848^7^0
00000000|*Fruit|C0016767|73424|MH|RtM via: Fruit;RtM via: Elderberries - dietary;Forced Leaf Node Lookup:fruits|TI|MM|769^6^0;1481^10^0
00000000|*Leadership|C0023181|68240|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|10898^10^0
00000000|British Columbia|C0006193|67652|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM|5096^16^0
00000000|Alberta|C0001914|66893|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|11062^7^0;10882^7^0
00000000|*Honey|C0019906|66293|MH|RtM via: Honey;Forced Leaf Node Lookup:honey|TI|MM|2092^5^0;2142^5^0
00000000|*Petroleum|C0031264|63590|MH|RtM via: Petroleum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:petroleums|TI|MM|12200^19^0
00000000|*Carbon|C0007009|59876|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|11008^6^0
00000000|Singapore|C0037173|54557|MH|RtM via: Singapore;Forced Leaf Node Lookup:singapore|TI|MM|3667^9^0
00000000|*Cancer|C0006826|7293|ET|Entry Term Replacement for "Neoplasms";RtM via: Malignant Neoplasms;RtM via: Primary malignant neoplasm;Cancer/Neoplasm in Title, none specified|TI|MM|4939^6^0
00000000|Advertising as Topic|C0001690|1000|MH|Forced as Topic||MM
00000000|*Weather|C0043085|83154|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|467^7^0
00000000|*Feeling|C1527305|80784|ET|Entry Term Replacement for "Emotions";RtM via: Emotions;RtM via: Feelings;RtM via: Pleasant;RtM via: Self Confidence|TI|MM|980^7^0;452^4^0;292^4^0;194^7^0;21^7^0;2568^6^0;2465^6^0;2321^6^0;9829^10^0
00000000|*Climate|C0008946|56271|MH|RtM via: Climate;Forced Non-Leaf Node Lookup:climates|TI|MM|10890^7^0
00000000|*Taxes|C0039371|50829|MH|RtM via: Taxes;Forced Non-Leaf Node Lookup:taxes|TI|MM|9105^5^0;5775^3^0
00000000|*Writing|C0043266|43086|MH|RtM via: Writing (occupation or discipline);Forced Non-Leaf Node Lookup:writing|TI|MM|7323^7^0
00000000|*Fund|C0016820|41166|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:fund|TI|MM|7426^4^0
00000000|*Social Services|C0037441|32919|ET|Entry Term Replacement for "Social Work";RtM via: Social Work (discipline);Forced Non-Leaf Node Lookup:social services|TI|MM|9203^15^0
00000000|*Health Care Costs|C0085552|32619|MH|RtM via: Health Care Costs;Forced Non-Leaf Node Lookup:health care costs|TI|MM|5075^17^0
00000000|*Research Institute|C0035172|31296|ET|Entry Term Replacement for "Academies and Institutes";RtM via: Research Institutes;RtM via: Institutes;Forced Non-Leaf Node Lookup:research institutes|TI|MM|8972^18^0;1173^10^0
00000000|*Diabetes Mellitus|C0011849|29133|MH|RtM via: Diabetes Mellitus;Forced Non-Leaf Node Lookup:diabetes|TI|MM|4947^8^0
00000000|*Air Pollution|C0001873|26895|MH|RtM via: Air Pollution;Forced Non-Leaf Node Lookup:air pollutions|TI|MM|5488^13^0
00000000|*Health Care Provider|C0018724|25554|ET|Entry Term Replacement for "Health Personnel";RtM via: Health Personnel;Forced Non-Leaf Node Lookup:health care providers|TI|MM|2591^20^0
00000000|*Stroke|C0038454|24171|MH|RtM via: Cerebrovascular accident;Forced Non-Leaf Node Lookup:strokes|TI|MM|4976^6^0
00000000|*Motor Vehicles|C0175845|14595|MH|RtM via: Motor bus;Forced Non-Leaf Node Lookup:buses|TI|MM|6938^5^0;6778^3^0;5581^3^0
00000000|*Heart Diseases|C0018799|11724|MH|RtM via: Heart Diseases;Forced Non-Leaf Node Lookup:heart diseases|TI|MM|4957^13^0
00000000|*Sore Throat|C0242429|9681|ET|Entry Term Replacement for "Pharyngitis";RtM via: Pharyngitis;RtM via: Sore Throat;Forced Non-Leaf Node Lookup:sore throats|TI|MM|2163^11^0
00000000|*Allergies|C0020517|7443|ET|Entry Term Replacement for "Hypersensitivity";RtM via: Hypersensitivity;Forced Non-Leaf Node Lookup:allergies|TI|MM|65^9^0
00000000|*Vaccines|C0042210|7398|MH|RtM via: Vaccines;Forced Non-Leaf Node Lookup:vaccines|TI|MM|5126^8^0;4817^8^0
00000000|*Antiviral Agents|C0003451|2802|MH|RtM via: Antiviral Agents;Forced Non-Leaf Node Lookup:antivirals|TI|MM|2124^9^0;1504^9^0
00000000|China|C0008115|36660|MH|RtM via: China|TI|MM|10410^5^0
00000000|Victoria|C0042645|9|MH|RtM via: Victoria Austrailia|TI|MM|7825^8^0
00000000|economics|C0013557|1111|SH|N03.219.702 (Investments)|TI|MM
#../projects/marine/res_6.txt
00000000|Child|C0008059|122340|CT|CT Text Lookup: child||MM
00000000|Humans|C0086418|122340|CT|CT Text Lookup: child;CT Text Lookup: infant;CT Text Lookup: man||MM
00000000|Male|C0086582|122340|CT|CT Text Lookup: he;CT Text Lookup: man||MM
00000000|Female|C0015780|122340|CT|CT Text Lookup: her;CT Text Lookup: she||MM
00000000|Infant|C0021270|122340|CT|CT Text Lookup: infant||MM
00000000|Child, Preschool|C0008100|122340|CT|RtM via: Toddler (age group)|TI|MM|4036^7^0
00000000|*Cities|C0008848|121340|MH|RtM via: Cities;RtM via: municipality;Forced Leaf Node Lookup:municipalities;Forced Leaf Node Lookup:cities|TI|MM|8392^6^0;7982^6^0;6466^6^0;3501^4^0;9178^14^0
00000000|*Syzygium|C3887872|111776|MH|RtM via: Clove;RtM via: Syzygium aromaticum;Forced New Lookup:cloves;checkForceMH Boosted|TI|MM|6002^6^0
00000000|*Cinnamomum zeylanicum|C0008802|103013|MH|RtM via: Cinnamomum verum;RtM via: Cinnamon - dietary;Forced Leaf Node Lookup:cinnamons;checkForceMH Boosted|TI|MM|6025^8^0;2284^8^0;2155^8^0;2032^8^0
00000000|*Temperance|C0039475|76766|MH|RtM via: Temperance;Forced Leaf Node Lookup:temperances|TI|MM|5629^11^0;2904^10^0
00000000|*Housing|C0020056|76474|MH|RtM via: Housing;Forced Leaf Node Lookup:housing|TI|MM|9213^7^0
00000000|*Sweat|C0038984|65365|MH|RtM via: Sweat;Forced Leaf Node Lookup:sweats|TI|MM|4551^5^0
00000000|*Cough|C0010200|65092|MH|RtM via: Coughing;Forced Leaf Node Lookup:coughs|TI|MM|5123^8^0;4775^5^0;2421^5^0
00000000|*Shame|C0036938|58177|MH|RtM via: Shame;Forced Leaf Node Lookup:shames|TI|MM|5181^5^0
00000000|*Social Media|C3179065|55996|MH|RtM via: Social Media;Forced Leaf Node Lookup:social media|TI|MM|1508^12^0
00000000|*Dreams|C0013117|54379|MH|RtM via: Nightmares;Forced Leaf Node Lookup:nightmares|TI|MM|1666^10^0
00000000|*Leg|C1140621|52909|MH|RtM via: Leg;Forced Leaf Node Lookup:legs|TI|MM|1754^4^0
00000000|*Sleep Initiation and Maintenance Disorders|C0021603|50554|MH|RtM via: Sleeplessness;Forced Leaf Node Lookup:insomnias|TI|MM|2492^8^0
00000000|*Honey|C0019906|49888|MH|RtM via: Honey;Forced Leaf Node Lookup:honey|TI|MM|5889^5^0;2274^5^0;2174^5^0;2022^5^0
00000000|*Smoke|C0037366|48142|MH|RtM via: Smoke;RtM via: Tobacco smoke;checkForceMH Boosted;Forced Non-Leaf Node Lookup:smokes|TI|MM|893^5^0
00000000|*Spouses|C0162409|46489|MH|RtM via: wife;Forced Leaf Node Lookup:wife|TI|MM|4997^4^0
00000000|*Strikes, Employee|C0038452|45436|MH|RtM via: Strikes, Employee;Forced Leaf Node Lookup:strikes|TI|MM|3443^6^0;3320^6^0
00000000|London|C0023973|44890|MH|RtM via: London;Forced Leaf Node Lookup:london|TI|MM|5562^7^0;3585^6^0;3422^6^0;3328^6^0;2997^6^0;2855^7^0
00000000|New Brunswick|C0027963|44872|MH|RtM via: New Brunswick;Forced Leaf Node Lookup:new brunswick|TI|MM|7583^13^0
00000000|Berlin|C0005125|44440|MH|RtM via: City of Berlin;Forced Leaf Node Lookup:berlin|TI|MM|578^6^0
00000000|*Clergy|C0008935|44344|MH|RtM via: Ministers;Forced Leaf Node Lookup:ministers|TI|MM|6138^8^0
00000000|*Wine|C0043188|43630|MH|RtM via: Wine;Forced Leaf Node Lookup:wine|TI|MM|818^4^0;300^4^0
00000000|*Libido|C0023618|42973|MH|RtM via: Libido;Forced Leaf Node Lookup:libido|TI|MM|2571^6^0
00000000|*Ice Cover|C1449599|42430|MH|RtM via: Glaciers;Forced Leaf Node Lookup:glaciers|TI|MM|3661^8^0
00000000|*Pharynx|C0031354|41857|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:throat|TI|MM|5258^6^0
00000000|*Language|C0023008|40966|MH|RtM via: French language;Forced Leaf Node Lookup:languages|TI|MM|458^6^0;796^8^0
00000000|Switzerland|C0039021|40603|MH|RtM via: Switzerland;Forced Leaf Node Lookup:switzerland|TI|MM|9792^11^0
00000000|*Nasal Cavity|C0027423|39880|MH|RtM via: Nasal cavity;Forced Leaf Node Lookup:nasal cavities|TI|MM|4875^14^0
00000000|*Orange|C0440277|38455|ET|Entry Term Replacement for "Citrus sinensis";RtM via: Orange (fruit);checkForceMH Boosted|TI|MM|5969^6^0
00000000|*Masks|C0024861|38437|MH|RtM via: Orthodontic Face Mask;Forced Leaf Node Lookup:mask|TI|MM|2138^9^0;2143^4^0
00000000|*TSP-1|C0147139|38323|ET|Entry Term Replacement for "Thrombospondin 1";RtM via: Thrombospondin 1;checkForceMH Boosted|TI|MM|2149^5^0
00000000|New Zealand|C0027978|36409|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|9835^11^0;8301^11^0
00000000|*Craving|C0870371|36400|MH|Forced Leaf Node Lookup:cravings|TI|MM|2463^8^0
00000000|*Mothers|C0026591|36400|MH|Forced Leaf Node Lookup:mothers|TI|MM|5773^7^0
00000000|Canada|C0006823|11952|MH|RtM via: Canada;RtM via: canadian;Forced Non-Leaf Node Lookup:canadian|TI;Geo Lookup:canadians|MM|10053^6^0;9576^6^0;7816^6^0;7730^6^0;7671^6^0;7416^6^0;7282^6^0;7243^6^0;7096^6^0;7016^6^0;6480^6^0;6182^6^0;9971^9^0;7468^9^0
00000000|*Communities|C0009462|67386|ET|Entry Term Replacement for "Residence Characteristics";RtM via: Community;RtM via: Neighborhood|TI|MM|9557^11^0;8602^11^0;8478^11^0;8111^11^0;8239^11^0;8178^11^0;8075^11^0;7060^11^0;8681^13^0
00000000|*Pain|C0030193|55155|MH|RtM via: Pain;RtM via: Ache;Forced Non-Leaf Node Lookup:aches|TI|MM|1741^5^0;1731^5^0
00000000|*Fear|C0015726|29529|MH|RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fears|TI|MM|1825^5^0
00000000|*Writing|C0043266|26205|MH|RtM via: Writing (occupation or discipline);Forced Non-Leaf Node Lookup:writing|TI|MM|5454^7^0;249^7^0
00000000|*Book|C0006002|24222|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM|2934^4^0
00000000|*Running|C0035953|19305|MH|RtM via: Running (physical activity);RtM via: Marathon composite resin;Forced Non-Leaf Node Lookup:runnings|TI|MM|5235^7^0;3817^7^0;3764^3^0;1552^7^0;1446^7^0;727^7^0;1026^8^0
00000000|*Hair|C0018494|15423|MH|RtM via: Hair;RtM via: Lanugo;Forced Non-Leaf Node Lookup:hair|TI|MM|3^4^0;212^4^0
00000000|*Acne|C0001144|9936|ET|Entry Term Replacement for "Acne Vulgaris";RtM via: Acne;RtM via: Acne Vulgaris;Forced Non-Leaf Node Lookup:acne|TI|MM|2133^4^0
00000000|*Mucus|C0026727|6543|MH|RtM via: Mucous body substance;Forced Non-Leaf Node Lookup:mucus|TI|MM|4852^5^0
00000000|Glucose|C0017725|1000|MH|Forced Non-Leaf Node Lookup:glucose||MM|2330^7^0
00000000|Carbohydrates|C0007004|1000|MH|Forced Non-Leaf Node Lookup:sugars||MM|2457^5^0
00000000|Tea|C0039400|1000|MH|Forced Non-Leaf Node Lookup:tea||MM|4939^3^0
00000000|Islands|C0022130|21270|MH|RtM via: Islands|TI|MM|7575^6^0
00000000|Italy|C0022277|8772|MH|RtM via: Italy|TI|MM|9825^5^0
00000000|France|C0016674|4203|MH|RtM via: France|TI|MM|9817^6^0;9121^6^0;616^6^0
00000000|Scotland|C0036453|9|MH|RtM via: Scotland|TI|MM|3955^8^0;3023^8^0
00000000|Victoria|C0042645|9|MH|RtM via: Victoria Austrailia|TI|MM|3288^8^0
00000000|instrumentation|C0021632|43377|SH|Equipment and Supplies|TI|MM
#../projects/marine/res_7.txt
